mjd,freq,tau,tauerr,dnu,dnuerr
54997.300581155134,1413.75,2.588866659815473,0.055156386400426465,0.377386316116206,0.011936551931961947
54997.30821966208,1413.75,2.0528654347185276,0.044370669116506466,0.3449775823072204,0.012081379086486781
54997.31585816902,1413.75,1.3460606310798708,0.03264306104099557,0.2950940249779584,0.011780413943473697
54997.32349667597,1413.75,1.1807488168754898,0.041324821629105335,0.3381592156181455,0.01949444860175775
54997.33113518291,1413.75,0.9702464758266173,0.024004487014563602,0.28158144239412475,0.013110968279290848
54997.33877368986,1413.75,1.2143484151848216,0.04831323767927813,0.34120254698101593,0.02391441531608265
54997.3464121968,1413.75,1.1727350441873001,0.0268114793673286,0.32821216308894124,0.014428891636318872
54997.35405070375,1413.75,1.2293535200114398,0.03895747198119429,0.3337575170484104,0.018209305369119477
54997.361689210695,1413.75,1.5752979296216376,0.04653744622103748,0.3077097190814315,0.013411004730232599
54997.369327717635,1413.75,2.3941870820464706,0.04327198417218603,0.3252237639077828,0.008036591526974099
54997.37696622458,1413.75,4.658497657836852,0.07876132345661335,0.2747376801922991,0.00471557320211715
54997.384604731524,1413.75,6.406664647842682,0.15830475090517734,0.27223958552060157,0.005304081985032097
54997.39224323847,1413.75,4.337954940373289,0.08406181123845538,0.28449044651277217,0.005903710256796897
55057.26023312672,1368.75,4.089852380617813,0.08710222331492191,0.2984710933639839,0.006715849682243173
55057.2678715403,1368.75,8.377236524318963,0.2907267054590925,0.2948589101038447,0.00661640533597545
55057.275509953884,1368.75,6.0010845683803105,0.10189230416539327,0.24670670152404167,0.0032567845163665797
55057.28314836746,1368.75,4.344415953472999,0.09030375465526919,0.3296399057217689,0.007458111330260354
55057.29078678104,1368.75,3.343898007966749,0.07025186187565459,0.38859191517444264,0.01136212796117396
55057.298425194625,1368.75,2.555672925771386,0.04837721637622397,0.34485784526926927,0.009098306011370455
55057.3060636082,1368.75,2.067201093422122,0.044595277590391544,0.3318806334497526,0.010294948969672093
55057.313702021784,1368.75,2.039003237858151,0.044656872511612995,0.36528576012755487,0.012382858302816317
55057.32134043537,1368.75,1.8431551374200776,0.05517714653126503,0.3471257944553831,0.014854630284436647
55057.32897884894,1368.75,1.5587300096829064,0.04408197765537259,0.3067123638166285,0.012713665833776696
55057.336617262525,1368.75,1.8538695671907914,0.04670984560018302,0.3898554614249427,0.015145294613853303
55057.34425567611,1368.75,1.8546217828797418,0.0390084083749742,0.33765023071548506,0.010518112804746302
55057.35189408968,1368.75,2.9249048134755977,0.06258826645263842,0.6404078694230181,0.021280803510306423
55058.030103661644,1368.625,2.003594518872882,0.051464879931761146,0.4022557840154803,0.015970649120338763
55058.03774212615,1368.625,2.2385771910144814,0.04209369951739191,0.3658364143640127,0.010371669843988433
55058.04538059066,1368.625,2.545273346104995,0.04466648599316659,0.33980627184090606,0.008235895297895106
55058.053019055165,1368.625,5.861655698077285,0.1150083872173921,0.4306066433059889,0.007745288514692042
55058.060657519665,1368.625,9.927870693078388,0.3239018214083727,0.3340540169746794,0.005418333634914057
55058.06829598417,1368.625,6.3991197158582755,0.11605358538595652,0.3149057757727522,0.004546439698395634
55058.07593444868,1368.625,3.3848728203980634,0.04572079468784735,0.3132440380729219,0.005049905711296096
55058.08357291319,1368.625,3.4792516719463187,0.06296897190658422,0.45620621651556803,0.010781191908512957
55058.091211377694,1368.625,2.741073342569257,0.07284926990330029,0.429352320357448,0.016719066614042915
55058.0988498422,1368.625,1.6216801992972887,0.030478863106112957,0.3979344690045674,0.011249388616054653
55058.10648830671,1368.625,2.0099326635412447,0.03617370878411103,0.33973914506944153,0.009034467848447013
55058.11412677121,1368.625,1.5899192013048762,0.02814938461377987,0.36745619331114143,0.010014035266970922
55058.121765235715,1368.625,1.9361667217722287,0.06466028783228064,0.3694728943002481,0.019764195777385328
55058.24178208665,1368.625,2.305292215787563,0.04102317844302797,0.32584525872978576,0.007955776924660658
55058.24942063603,1368.625,3.9884325805440133,0.06915296761405679,0.302016490931418,0.006226892912430889
55058.25705918541,1368.625,8.767196391123466,0.37864258381998084,0.39512413347203146,0.009236085387799029
55058.26469773479,1368.625,4.8962566858731185,0.07453631234444914,0.34195714479274486,0.005387389590782692
55058.27233628417,1368.625,3.2947963966344864,0.05399866870164172,0.3034989244865401,0.006337536235457914
55058.27997483356,1368.625,2.6148096828731346,0.04824213154571657,0.41156543202198065,0.010356798380345485
55058.28761338294,1368.625,2.633853695013346,0.04867321438432639,0.34467541086244197,0.008775957993863619
55058.29525193232,1368.625,2.1582033492138684,0.04101380923196125,0.3107077733456165,0.008029063795631607
55058.302890481704,1368.625,1.8828435290038494,0.051340429175615515,0.35889265740765364,0.014283185976091236
55058.310529031085,1368.625,1.774647167660039,0.0398563658765888,0.3140480666036976,0.010989836162973641
55058.31816758047,1368.625,2.105150968547534,0.05305039844814639,0.4938359843138726,0.0202496355871369
55058.325806129855,1368.625,1.8860151104292857,0.03247140333254055,0.3326332169628626,0.00847424915451439
